Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-09-27,National Theatre Live: Vanya,2024,https://boxd.it/7pXdw9,5,,"If there's one thing Andrew Scott can do, it's anything",,2024-09-27
2025-06-02,The Stunt Double,2020,https://boxd.it/9S6kmL,2.5,,"he’s running, falling, flying—meanwhile i’m just trying to feel something in 10 minutes or less.",,2025-06-01
2025-06-02,In Paris,2006,https://boxd.it/9S9YF5,3,,someone sedate me before i french spiral again. three words: louis. garrel. help.,,2025-06-01
2025-06-06,Breathless,1983,https://boxd.it/9UwExJ,2.5,,"he’s tare. insane, unemployed, hot. yeah i’m watching again.",,2025-06-05
2025-06-11,The Umbrellas of Cherbourg,1964,https://boxd.it/9XZDPd,5,,there would be no LA LA LAND without this film fs,,2025-06-11
2025-06-14,Into the Wild,2007,https://boxd.it/9ZQONR,4.5,,"feral boycore. ran too fast, felt too much.",,2025-06-14
2025-06-15,Materialists,2025,https://boxd.it/a0EifX,1.5,,"everyone’s hot, emotionally bankrupt, and dressed like they gentrified therapy. i was seated.",,2025-06-15
2025-06-17,Down with Love,2003,https://boxd.it/a1yrmb,5,Yes,"a film for girls who monologue in mirrors, weaponise eyeliner, and fake orgasms for the plot. 5 stars for the shade of pink alone.",,2025-06-16
2025-06-18,Stealing Beauty,1996,https://boxd.it/a2uYmJ,3.5,,"sunscreen-laced thighs. olive oil dripping off poetry. every man in this film wants to sculpt her, paint her, possess her but she’s too busy being languid under the Tuscan sun, writing in her diary like it’s 2003 Tumblr.

this movie isn’t about plot. it’s about linen dresses, cherry trees, and feeling 17 even when you’re 21 and jaded. Liv Tyler looks like she was handcrafted by a summer fever dream.

if you’ve ever stared into nothing with intent, worn red lipstick just to overthink, or stood at a balcony for the vibe — this is your Roman Empire.",,2025-06-18
2025-06-19,8½,1963,https://boxd.it/a2ZA2d,4,,8½ is just Fellini edging himself for two hours straight — and I watched it mouth open like it was a Dior couture show for delusional men with Jesus complexes.,,2025-06-19
2025-06-19,The Code,2024,https://boxd.it/a31G5B,3.5,,"The Code is what happens when a crypto bro microdoses Godard and starts sexting in Helvetica. Everyone’s horny, no one’s sincere, and the lighting deserves its own OnlyFans.",,2025-06-19
2025-06-19,Mikey and Nicky,1976,https://boxd.it/a323cl,4.5,Yes,"Grimy boy dinner lit by neon.Men yelling in beige coats, tender in the ugliest way.
Elaine May films male friendship like it’s soft launching grief   and funeral all at once.I watched this like it was a cursed perfume ad from 1976.",,2025-06-19
2025-06-20,Guy and Madeline on a Park Bench,2009,https://boxd.it/a3GIYP,3.5,,"feels like if Damien Chazelle made a sex tape with Cassavetes and cut it on iMovie. every trombone solo is basically a neck kiss and every subway ride a bad rebound. 
cinema for people who romanticise eye contact and bad saxophone tone.",,2025-06-20
2025-06-20,Birth,2004,https://boxd.it/a3ISLF,3,,Sofia Coppola ghostwrote a gothic horror and dared Nicole Kidman to out-stare God.,,2025-06-20
2025-06-21,The Dreamers,2003,https://boxd.it/a3Wz3H,0.5,,if a failed threesome turned into a film thesis on repression and everyone forgot to cum.,,2025-06-20
2025-06-21,Y Tu Mamá También,2001,https://boxd.it/a42FAp,4.5,Yes,Felt like Marxist theory took a gap year and discovered hand jobs and class guilt.,,2025-06-21
2025-06-21,Death in Venice,1971,https://boxd.it/a4q6dX,1.5,,was a slow-motion nosebleed in lace.,,2025-06-21
2025-06-22,Love & Basketball,2000,https://boxd.it/a4CS8l,4,,two emotionally unavailable athletes making eye contact like it’s sex. and somehow that was the most honest part.,,2025-06-21
2025-06-22,Manorama Six Feet Under,2007,https://boxd.it/a59yZZ,1.5,,"The corruption is softcore, the beige is erotic, and Abhay Deol’s dead-eyed confusion is basically method foreplay.",,2025-06-22
2025-06-24,Ferris Bueller's Day Off,1986,https://boxd.it/a6DGfT,4.5,,If anti-work had a face and it wore Ray-Bans.,,2025-06-24
2025-06-25,Primer,2004,https://boxd.it/a6HJ6t,1.5,,Somewhere between mutual gaslighting and math. More like kinetic codependency in a late-capitalist loop.,,2025-06-24
2025-06-25,10 Things I Hate About You,1999,https://boxd.it/a7cvH3,2.5,,kinda Y2K tampon commercial.,,2025-06-25
2025-06-28,F1,2025,https://boxd.it/a8JDXX,3.5,,"a GQ ad in denial. added engines, lost the plot, called it masculinity. Verstappen appears for three seconds — the only part that makes sense. everyone mourns under perfect leather and unresolved tension.",,2025-06-28
2025-06-29,28 Days Later,2002,https://boxd.it/a9dQij,4,,"It’s infection-core meets existential crisis.
Cillian Murphy serving heroin chic prophet realness while London collapses like a wet cigarette.
28 days of thirst, rot, and unbearable hotness.
28 days without moisturiser — and it shows.
Post-apocalypse, but model-off-duty.",,2025-06-28
2025-06-30,The Devil Wears Prada,2006,https://boxd.it/aaB0Un,4,,"twelve coats and one slow-burn possession.
miranda priestly doesn’t yell—she erodes.
this isn’t a makeover arc, it’s a baptism by belt-tightening.
office supplies clatter like war drums.
and somewhere in the gloss of a page, a girl trades softness for silhouette.
anne hathaway, cheekbones union-busting their way through the fifth arrondissement.",,2025-06-30
2025-07-01,"Oh, Hi!",2025,https://boxd.it/aba84z,3,,"girl dinner: florals, a knife, and him tied to the bed. she’s serving midsommar motelcore and possible jail time.
cinema for the deranged.",,2025-07-01
2025-07-01,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/abaLTL,4,,"<b>candlelit cunnilingus, fascist gluttony and a mic drop  murder.</b>
everyone’s pretending the food isn’t rotting and the sex isn’t divine.looks like versailles if versailles was a restaurant where you came, cried and committed a felony.
aesthetic?10/10. morals?in the dumpster behind the kitchen.",,2025-07-01
2025-07-02,Notting Hill,1999,https://boxd.it/abj6lr,4.5,Yes,"it’s giving: ruin me in a west london flat with floor-to-ceiling bookshelves.
he smells like bergamot, postgrad debt, and the ghost of someone who once said forever.
julia roberts is three parts lipstick, one part spiritual warfare.
no one survives this kind of intimacy twice.",,2025-07-01
